EPOCH                                                       B_R                             B_T                             B_N
dd-mm-yyyy hh:mm:ss.mil.mic.nan                              nT                              nT                              nT
19-01-2024 03:21:30.000.003.576                        0.355042                         2.86917                         3.82014
19-01-2024 03:22:30.000.000.000                       -0.942442                         1.09700                         4.56913
19-01-2024 03:23:29.999.996.423                        0.822005                         2.66169                         3.86299
19-01-2024 03:24:30.000.002.905                        0.118322                         3.01844                         3.80325
19-01-2024 03:25:29.999.999.329                       -0.744199                         4.04645                         2.54966
19-01-2024 03:26:29.999.995.753                         1.54525                         2.51530                         3.40143
19-01-2024 03:27:30.000.002.235                         1.37354                         2.08050                         3.68358
19-01-2024 03:28:29.999.998.658                         2.43825                         2.00756                         3.13805
19-01-2024 03:29:29.999.995.082                         1.43344                       0.0152526                         4.28837
19-01-2024 03:30:30.000.001.564                         2.20944                       -0.767501                         3.74123
19-01-2024 03:31:29.999.997.988                        0.790516                        -2.69797                         3.41577
19-01-2024 03:32:30.000.004.470                         1.31561                       -0.321414                         4.22717
19-01-2024 03:33:30.000.000.894                         1.88985                       -0.763520                         4.01604
19-01-2024 03:34:29.999.997.317                         1.94814                        0.783582                         4.01406
19-01-2024 03:35:30.000.003.799                         2.57588                         1.24058                         3.67117
19-01-2024 03:36:30.000.000.223                         1.64460                         2.69618                         3.36066
19-01-2024 03:37:29.999.996.647                         1.05321                         3.14439                         3.14837
19-01-2024 03:38:30.000.003.129                         1.50909                         3.46216                         2.47188
19-01-2024 03:39:29.999.999.552                         1.90008                         3.03716                         2.75252
19-01-2024 03:40:29.999.995.976                         2.25515                         1.46182                         3.43568
19-01-2024 03:41:30.000.002.458                         2.15088                     -0.00437424                         3.97131
19-01-2024 03:42:29.999.998.882                         2.26856                        0.928135                         3.92342
19-01-2024 03:43:29.999.995.306                         2.08378                       -0.378992                         3.96428
19-01-2024 03:44:30.000.001.788                         1.74370                        0.371152                         4.18620
19-01-2024 03:45:29.999.998.211                         1.88071                        0.549346                         4.24198
19-01-2024 03:46:30.000.004.693                         2.29714                        0.550325                         4.00262
19-01-2024 03:47:30.000.001.117                         2.07331                         1.65280                         3.36929
19-01-2024 03:48:29.999.997.541                         3.62738                         2.59172                       -0.288120
19-01-2024 03:49:30.000.004.023                         3.17637                        0.797359                         3.02020
